"No","受付日時","顧客会社名","ProjectName","発生箇所","受付概要","受付詳細","対応詳細","原因","関連インシデントNo","インシデント分類","関連課題NO","課題","非公開"
"11088","2021/4/28","JFS","原材料受発注システム","その他","【新原受発注】発注エラーについて","発注エラーとなっている原材料がいくつかある。連日続いているこの事象ですが、本日即時連携で対応しております。根本原因をお調べしていただければと思います。",""改廃を変更しても改廃明細作成フラグが1にならない事象のため。(課題管理No：604)データをメンテナンスし、翌日連動予定。4/30 追記受発注に連動されて窓が開いていることを確認した。"","","","","",""4/28 調査 浦野 2H 時間内 範囲内4/30 確認 浦野 0.5H 時間内 範囲内"","FALSE"
"11089","2021/4/28","デザートランド関東","原材料受発注システム","ログイン","パスワード再設定のメールが届かない","パスワードがわからなくなったので、ログイン画面の「パスワードを忘れた方はこちら」からメールを送信したが、メールが届かない。","メール送信時に入力していたユーザIDが間違っていたため（0が多かった）。正しいIDを入力していただく。","","","","","4/28　顧客対応　山岸　0.25h　範囲内　時間内","FALSE"
"11090","2021/4/28","FM","原材料受発注システム","その他","【新原受発注】４月利用分請求書マスタ更新依頼（３件）",""添付ファイルの通り３件が更新対象となる為、今月中（４月利用分の請求書発行まで）に作業をお願いしたい。会社コード30580509→更新30850001→更新30840010→新規"","依頼内容に基づき、対応完了。最新版のDM別請求書情報を併せてFM羽田様へ送付。","","","","",""4/28　登録対応　中嶌　1.0h　時間内　範囲内4/28　複眼チェック　川俣　0.5h　時間内　範囲内"","FALSE"
"11091","2021/4/30","プリマハム","原材料受発注システム","クレーム管理","クレーム一覧に表示されない",""完了ボタンを押下したいが、以下のクレームが一覧に出てこない。【受付番号】10000226-110000242-1"",""ユーザがログインしているのは 「00500175」から始まるプリマハム（株）直納Ｄ２だが、表示されないクレームは、メーカーコードが「00104300」のため。ログインIDを変えて表示されるか確認をお願い。"","その他","","","","4/30 調査 浦野 0.2H 時間内 範囲内","FALSE"
"11092","2021/4/30","FM","商品規格書システム","原材料検索","【新規格書】品証で削除済み原材料が規格書で引当てできる件（２件）",""品証側で削除済みの原材料が、商品規格書で引き当て可能となっている。調査をお願いしたい。380504204　キャベツカレーフィリング020419608　国内産業務用十種雑穀米"",###############################################################################################################################################################################################################################################################,"","","","","4/30　調査　中嶌　2.0H　時間内　範囲内","FALSE"
"11093","2021/4/30","JFS","原材料受発注システム","発注データ照会","承認後の緊急追加の取消について",""緊急追加の承認を実施したが、取消をしたい。どうすればよいか。【対象データ】伝票番号：33673696DM：カネ美多治見原材料：351700015発注日：4/30納品日：4/30"","発注登録（単票）緊急依頼の「取消」を実施頂ければ打ち消されるとお伝え。","その他","","","","4/30 顧客対応 浦野 0.2H 時間内 範囲内","FALSE"
"11095","2021/4/30","JFS","原材料受発注システム","クレーム管理","携帯メールがクレームのメールが送信されてこない",""プリマハム様の営業の方全員の携帯電話に送信されていたクレームのメールが、3/19を境に送信されてこなくなった（ドコモのアドレス）。会社のメールアドレスには送信されている。"",""インシデント：11032と同じお問い合わせ。送信元のアドレスを受信可能にするよう、設定をお願いした。（veganj-admin@family.co.jp）"","その他","","","",""4/30 調査 浦野 0.5H　時間内　範囲内5/7 顧客対応 浦野 0.1H 時間内 範囲内"","FALSE"
"11097","2021/5/6","JFS","原材料品質保証システム","データ参照一覧","【品証】食材全件(繰り返し項目あり)のCSVファイルについてのご質問",""メリクリウスで表題のファイルをダウンロードして開くと、GU列からHI列のみ文字化けしている。※食材の添付文書DLより食材全件(繰り返し項目あり)のデータをDLした。こちらはそういった仕様なのか？また、そのような場合はどうやって文字化けを解消すればいいのか教えてほしい。"",""「食材全件(繰り返し項目あり)」のCSVをダウンロードしたが、文字化けしているように見受けられなかった。CSVファイルをダウンロードした後、テキスト形式で開き⇒Excelへコピーした場合、事象が改善されるかどうかご確認頂いたところ、事象が改善されたとの連絡頂く。対応完了。"","","","","",""5/6　調査　中嶌　0.5H 時間内　範囲内5/6　顧客報告　中嶌　0.5H　次官内　範囲内"","FALSE"
"11098","2021/5/6","JFS","原材料受発注システム","その他","【新原受発注】伝票データ照会画面・計上について",""ＤＭ：シノブフーズ関西納品日：2021/4/1内容：①伝票Ｎo.33672380とＮo.33672380が重複　　　　（緊急追加アップロード時のエラーなのか）　　　②伝票Ｎo.33672380に直納品と共配品が一緒になっている。　　　　（「鶏モモマリネＦＳ２６」以外は共配品。本来は伝票が分かれるはず）"",###############################################################################################################################################################################################################################################################,"","","","","5/6　調査　中嶌・川俣　1.5H　時間内　範囲内","FALSE"
"11099","2021/5/7","FM","商品規格書システム","その他","【新規格書】補填金に関する項目メンテナンスについて(A-3の追加)",###############################################################################################################################################################################################################################################################,""＞この補填金の項目メンテナンスは画面上で簡単にできるものでしょうか？⇒システム画面上から簡単にできるものではなく、名称マスタ(u_m_nh_name_b)のメンテナンスが必要となる。※名称分類：B103レコード追加手順としては、主キーのname_cd1を連番にしていただき、character_item1,2をA-1と同じにしていただければ補填金Aとして扱われ、原価計算書画面・規格書帳票・補填金一覧VCに反映される。上記は検証環境にて動作確認済。FM羽田様へご報告。"","","","","","5/7　調査　中嶌　2.0H　時間外　範囲内","FALSE"
"11100","2021/5/7","村尾商事","原材料品質保証システム","調達品質情報(申請/フロー)","メーカー申請時にエラー","メーカー申請時にエラーメッセージが出力されて、申請できなかった。どうすればよいか。","エラーメッセージに記載されている通りに、メルクリウスネット側へ一度差し戻していただき、該当項目を修正後、再度依頼連携取込⇒メーカー申請して頂くようお願い。","","","","","5/7　顧客対応　0.5H　時間内　範囲内","FALSE"
"11101","2021/5/10","村尾商事","原材料品質保証システム","調達品質情報(申請/フロー)","メーカー申請時にエラー","メーカー申請時にエラーが発生する。(工場(追加１)_製造者地域区分（海外）または工場(追加１)_製造者地域区分（国内）のどちらか１つを選択してください。)これは、どこの表示なのか教えてほしい。","アドオンシートに該当項目がある為、国内もしくは海外の国をマスタより選択していただき、アドオンシートの差し替えを実施頂くようお願い。","","","","","5/10　顧客対応　中嶌　0.1H　時間内　範囲内","FALSE"
"11103","2021/5/10","JFS","原材料品質保証システム","会社マスタ、ユーザーマスタ","ヤマダフーズの配送区分・納品区分について(00500074)","ヤマダフーズの配送区分・納品区分について確認したい。","配送区分：共配　納品区分：D1　である旨お伝え。","","","","","5/10　調査　中嶌　0.5H　時間内　範囲内","FALSE"
"11104","2021/5/7","ファミリーマート","中食表示システム","表示複数編集・作成","【中食表示】添加物の表示がずれて作成されてしまう",###############################################################################################################################################################################################################################################################,""インシデントNo.11012と同事象。該当商品の操作ログを確認したところ、表示明細が作成された段階では、「添加物」のズレは発生しておらず「原材料名編集」画面にて、半製品ツリー展開を含む’半製品表示’ボタンを押下したタイミングで添加物のズレが発生していた。今回も弊社では事象が再現されなかった。上記の操作＋特定の条件を満たした場合に、添加物のズレが発生すると考える。取り急ぎ上記をFM羽田様へご報告。羽田様よりデータ補正の依頼を受領。正しい添加物名に修正。FM羽田様へご報告。"","","","","",""5/7　調査　中嶌　2.0H　時間外　範囲内5/12　調査＋修正対応　中嶌　2.0H　時間内　範囲内"","FALSE"
"11105","2021/5/7","JFS","商品規格書システム","原材料検索","【新規格書】コード引当てについて",""開発DM様より規格書にバージョンアップが完了している、原材料の引当ができないとのお問合せを頂いた。原材料  ：　350206008-06　 ＦＭウスターソース戸田フーズ開発　山口様　070-7522-6571"",""状況を確認したところ、半製品に引き当っている該当の原材料は最新Verが引き当てられていた。登録時のエラーとして「太麺パスタミートカレーにミートカレーソース煮２１０３が再引当されていません。」のエラー内容だった。一度半製品の引当解除後、再度引当して頂くようお願い。⇒上記手順で対応頂いたところ、事象改善されたとの事。対応完了。"","","","","",""5/10　顧客対応　中嶌　0.5H　時間内　範囲内5/10　調査　中嶌　1.5H　時間内　範囲内"","FALSE"
"11106","2021/5/8","JFS","商品規格書システム","改廃","【新規格書】【新原受発注】原因調査/窓が閉まっている件について(3工場様分)",""下記、原材料の窓が本日閉まっていた。(発注開始日が2021/05/10となっていたとの事)昨日(5/7)までは発注できたとのことで原因調査の方お願いしたい。※取り急ぎ5/8発注開始で即時連携を実施。DM:カネ美食品岡崎工場、カネ美食品十一屋工場原材料・元祖三池ごまたかな(369095907)・豚バラ３ｍｍ（スペイン）(510373106)・ライストッピング青菜(340477005)DM：トオカツフーズ八千代工場原材料・濃香清湯(350933706)"","状況の調査、発注開始日の履歴を確認したが、発注開始日が2021/05/10となっていた事は無く、発注できなかったという実績が見受けられなかった。上記をJFS墨谷様へお伝えしたところ、再度DM様へ確認して頂けるとの事。現状発注は問題なくできている為、もし何かあればまたお問合せ頂けるとの事。","","","","","5/8　調査　中嶌　2.5H　時間内　範囲内","FALSE"
"11107","2021/5/10","ファミリーマート","商品規格書システム","その他","【新規格書】製造工場一覧表の表示について",""規格書の「製造工場一覧表」について確認いただきたい。サーマル商品名　味付けのり　おかか商品管理No　0400015701商品コード　04102120こちらの商品ですが現在Ver00～03の４つの規格書バージョンが発生しているが、間のVer01,02では製造工場一覧表の終了日が正しく設定されていないように見受けられる。最初00と最新03は終了日が設定されている。正しい動きであるかご確認いただきたい。"",###############################################################################################################################################################################################################################################################,"","","","","5/10　調査　中嶌　1.5h　時間内　範囲内","FALSE"
"11108","2021/5/10","JFS","原材料受発注システム","発注エラー確認","ヨネザワ製菓発注エラー",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"その他","","","",""5/10 調査 浦野 5H 時間内 範囲内5/10 調査 川俣 1H 時間内 範囲内5/11 顧客対応 浦野 0.2H 時間内 範囲内"","FALSE"
"11109","2021/5/10","ファミリーマート","原材料品質保証システム","その他","【品証】ファイルダウンロード不可","品証でファイルのダウンロードができない状況がある。対応について教えていただきたい。",###############################################################################################################################################################################################################################################################,"","","","",""5/10　調査　原　0.5H　時間内　範囲内5/14 問い合わせ 浦野 0.5H 時間内 範囲内"","FALSE"
"11110","2021/5/10","カネ美京都南","商品規格書システム","表紙情報","商品が見れない","来週登録日の商品で、FMのマスタでは工場登録されているが、規格書で登録されていないようで中身が見れない。","カネ美京都南工場は対象外製造工場となっている。対象へ移す作業はNFF様となるため、NFF様へご連絡いただくようお願い。","","","","","5/10　顧客対応　山岸　0.25h　範囲内　時間内","FALSE"
"11111","2021/5/10","木村海産","原材料品質保証システム","調達品質情報 (編集/バージョンアップ/取消)","バージョンアップについて",""①バージョンアップをすると、「選択された食材情報は最終承認されていないためバージョンアップできません。現在フロー実施中のデータが最終承認されてからバージョンアップしてください。 」というエラーになる。②バージョンアップの手順を教えてほしい。"",""①すでにバージョンアップ済みのため。メーカー未申請タブにバージョンアップした原材料が表示されるので、それを修正、申請していただく。②手順をご説明。"","","","","","5/10　顧客対応　山岸　0.5h　範囲内　時間内","FALSE"
"11113","2021/5/10","JFS","原材料受発注システム","その他","【新原受発注】発注ステータスについて",""■DM：デザートランド仙台工場■発注日：5/9(日)■納品日：5/10(月)■原材料(共配⇒発注入力とまり)・▲アーモンドパウダーＧＬ(330801605)・ビートグラニュ糖ＨＢＳＰ(351277304)(直納⇒メーカー未回答とまり)・大雪原４５％　１０ｋｇ(520501407)・明治北海道牛乳(520500509)発注データ照会VCでデータが止まっている。"",""デザートランド仙台様の5/9発注分について、ユーザ様が発注登録完了された時間が、発注締め時間(12:30)とほぼ同時であった事を確認。このように発注締め時間と登録が重なってしまった事により、一部原材料が発注できていないような状態となっている。発注が漏れてしまっている対象原材料のリストを送付。発注が漏れた分につきましては、緊急追加等で対応頂くようお伝え。5/11 追記受発注課題管理にエスカレーション（NJ0086）。"","","","","","5/10　調査　川俣・中嶌　1.5H　時間内　範囲内","FALSE"
"11114","2021/5/11","FM","原材料受発注システム","発注エラー確認","発注エラー状況調査","昨日5/10にJFS様でメンテナンスした改廃が受発注に連動されていない(24件)。",""改廃明細に反映されない規格書の課題の影響によるもの→18件。改廃が存在せず、常時発注が本日追加されている→3件。規格書側は窓が開いており、受発注に連携済み→1件。改廃の窓が閉じている→2件。"","その他","","","","5/10 調査　中嶌・浦野　1H 時間内 範囲内","FALSE"
"11115","2021/5/11","JFS","原材料受発注システム","緊急依頼データ照会","【至急】取消エラーの件　801114005/ＡＴ－４０１（０．１３）",""DM：　　だい久製麺様原材料：801114005/ＡＴ－４０１（０．１３）納品日：5/12数量：　2ケース"",""インシデントNo10953と同じ事象。以下２点の実施をお願いした。受発注→調整－を入力FICS→在庫調整"","その他","","","","5/11 確認・顧客対応 浦野 0.3H 時間内 範囲内","FALSE"
"11116","2021/5/12","エスフーズ","原材料品質保証システム","調達品質情報 (編集/バージョンアップ/取消)","【品証】バージョンアップ手順について","該当原材料のバージョンアップ方法について教えてほしい。","バージョンアップ手順をご案内。","","","","","5/12　顧客対応　0.1H　時間内　範囲内","FALSE"
"11118","2021/5/12","障害対応（非公開）","商品規格書システム","その他","【新規格書】ジョブエラー検知(商品進捗がNULL)","5/12　15:30・16:30にジョブエラーを検知(商品進捗がNULL)","内容を確認したところ、商品進捗がNULLとなっている商品が３つ存在していた。画面上から確認したところ、工場配信済の進捗である事を確認。取り急ぎ、DBメンテナンスで補正対応実施。17:30のジョブについて政情終了している事を確認。","","","","","","TRUE""11119","2021/5/12","NFF","中食表示システム","表示複数編集・作成","【中食表示】該当原材料で表示明細表の含有アレルギー欄が空白",""「２１つゆＫＥＡ１００（親」（352300109）ですが、添付資料の商品で、表示明細に含有アレルギーが出てきませんでした。親コードで表示作成したのが、当該商品が最初の為、恐れ入りますが、置き換え設定に問題が無かったかをご確認お願いします。"",""【原因】置き換え設定登録の誤りがあった為⇒半角カンマで登録しなければならない箇所が、全角カンマで登録されていた為、本事象が発生した。登録内容の修正につきましては、既に対応完了済。今後は、該当原材料の含有アレルギーについて、表示作成後に、正常な値が付与される為、表示再作成の対応をご依頼。ご対応頂けるとの事。"","","","","","5/13　調査　中嶌・佐久間　2.5H　時間外　範囲内","FALSE"
"11120","2021/5/13","カネ美食品京都南","商品規格書システム","ダウンロード","原材料台帳がダウンロードできない","商品検索から原材料台帳ダウンロードを押しても反応がなく、台帳がダウンロードされない。","どの商品でもダウンロードできないとのこと。スミスでは正常にダウンロードできていることを確認。IEを利用しているということなので、初期設定したクロームでお試しいただくようお願い。","","","","","5/13　顧客対応　山岸　0.25h　範囲内　時間内","FALSE"
"11121","2021/5/13","JFS","原材料品質保証システム","ログイン","メーカーで品証にログインできない",""メーカーから品証にログインできないという問い合わせがあった。パスワード再設定のメールは届くとのこと。メーカーへ連絡をして対応してほしい。ユーザＩＤ　0050028436ご担当者　大西文子様"",###############################################################################################################################################################################################################################################################,"","","","","5/13　顧客対応　山岸　0.25h　時間内　範囲内","FALSE"
"11122","2021/5/13","不二製油","原材料品質保証システム","食材事前情報(申請/フロー)","製造メーカーで申請を廻したい","事前申請した原材料を、別の会社が以降の申請を回覧することは可能か。（原材料製造メーカーが不二製油ではないため。）","申請したメーカーのみ申請を回覧することが可能とお伝え。","その他","","","","5/13 顧客対応 浦野 0.1H 時間内 範囲内","FALSE"
"11123","2021/5/13","JFS","原材料受発注システム","発注エラー確認","【FM-WEB】12時半の発注エラーについて",""■DM:戸田フーズ本社、ファーストつくば■原材料：ＪＣ１９－１２耐熱蓋(800606600)■発注日開始終了日エラー■DM：ポオトデリカ東大阪■原材料：おろしにんにく１ｋｇ(359003707)■発注日開始終了日エラー本日12：30で発注エラーがあがっているが、通常発注で入力完了後に窓が閉まっているので、調査をお願いしたい。"",""両原材料とも、ユーザによって改廃の即時連携が実施されている。そのために窓が閉まった旨をお伝え。墨谷様からは、対象データの改廃は変更していないとのこと。操作オペ上では、改廃の連携をしていることを確認。窓が閉まった原因としては、表示されている原材料デポの改廃終了日の窓がしまっていたため。未更新データは窓が開いていたため、全て閉じてしまった。※課題欄参照のこと。"","その他","","","",""5/13 調査 浦野 3H 時間内 範囲内非公開内容製造DM単位で更新してもフラグが立たないため、原材料デポ単位で更新してくださいとお伝えしたことによる弊害。"","FALSE"
"11124","2021/5/14","JFS","原材料品質保証システム","その他","原材料削除について","原材料削除のリストに載せたが、削除除外としたい。","原材料削除を実施済みだが、除外された原材料だったことをお伝え。","その他","","","","5/14 顧客対応 中嶌 0.1H 時間内 範囲内","FALSE"
"11125","2021/5/13","障害対応","中食表示システム","その他","【障害報告】【新規格書】中食表示バッチ処理遅延",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"障害","","","","5/13 調査 野澤 4H 時間内 範囲内","FALSE"
"11126","2021/5/14","ファミリーマート","商品規格書システム","表紙情報","【新規格書】リニューアル登録による規格書バージョンアップ時の規格DMの変更について（質問）",###############################################################################################################################################################################################################################################################,""＞質問①⇒改訂版発行時に、規格DMのコード欄が活性化する為、変更する事が可能。＞質問②⇒ご認識の通りで、新たに上書きされる事はない。＞質問③⇒ご認識の通りで、新たに設定した規格DM様が申請・登録可能となる。上記をFM羽田様へご報告。"","","","","","5/14　調査　中嶌　1.5H　時間内　範囲内","FALSE"
"11127","2021/5/14","ファミリーマート","商品規格書システム","その他","【新規格書】改訂版を発行した際に変更した補填金のコメント欄の表示について（確認依頼）",""商品管理№1100031501６月14日登録　増量タルタルソースのチキン南蛮リニューアルにより改訂版が発行した規格書で既に工場配信済だが、NFFにて補填金の「コメント欄」の変更を実施した内容が反映されてない状態であるとお問合せがあった。お手数ですが事象確認をお願いしたい。"",###############################################################################################################################################################################################################################################################,"","","","",""5/14　調査　中嶌　1.5H　時間内　範囲内5/18　調査・確認　中嶌・野澤　1.5H　時間内　範囲内"","FALSE"
"11128","2021/5/17","北相米穀","原材料受発注システム","発注データ照会","発注漏れとなったデータはいつ消えるのか",""発注データ照会に、閉めに間に合わなかったメーカー未回答のデータが表示されているがいつ消えるのか。閉めに間に合わなかったため、再度DMに発注してもらったが、伝票データがまだ見れない。何時ごろに見えるようになるのか。（発注日：5/16、納品日：5/17）"","発注データ照会に表示されているデータは70日間保持された後に自動的に削除される。伝票データは納品日の21時に確認可能となるため、該当のデータについては本日21時に確認可能。","","","","","5/17　顧客対応　0.25h　調査0.5h　山岸　範囲内　時間内","FALSE"
"11129","2021/5/17","内部問合せ","原材料品質保証システム","その他",""【品証,サンプル受発注】原材料マスタの調査依頼"",""（１）品証には存在するが、POLIS,FM受発注システムに連携されていない原材料が存在するが、どういう条件で連携されるか。（２）品証から需給に連携される原材料はどういう条件で連携されるか。（３）原材料CSVの中で、承認を判断することは可能か。"",""（１）POLISへ連携する原材料は商品に引き当てられている原材料、受発注へは承認が完了している原材料を連携している。（２）申請がされている（承認の状態は関係なく）原材料が連携されている。（３）出力項目から承認状態を判断することは不可。"","その他","","","",""5/17 調査 浦野 1.5H 時間内 範囲内5/18 調査 浦野 0.5H 時間内 範囲内5/19 調査 浦野 0.5H 時間内 範囲内"","FALSE"
"11130","2021/5/17","エスフーズ","原材料品質保証システム","調達品質情報 (編集/バージョンアップ/取消)","承認済原材料の物流バーコードを変更したい","FMから、承認済原材料の物流バーコードの変更はバージョンアップ不要と聞いたが、どのように変更すればよいのか。また、ラベルの変更をするにはどうすればよいか。",""最新バージョンタブで原材料を検索し、原材料名をクリックして表示される「物流バーコード入力」メニューから変更可能。ラベルの変更に関してはバージョンアップが必要。"","","","","","5/17　顧客対応　0.1h　山岸　範囲内　時間内","FALSE"
"11131","2021/5/17","JFS","原材料受発注システム","発注登録","本日発注が漏れている（フジデリカ鹿児島）",""DM：フジデリカ鹿児島（00026801）本日発注分がすべて漏れている。弊社で確認した時は発注できていたが、現在見ると発注ができていない。"",""12:27の発注登録時にデータ削除は正常終了したが、一意制約エラーでINSERTに失敗した。しかしロールバックされなかったため、発注が消えてしまったことが原因。JP1にエラー発生監視を追加済。5/21 追記発注登録画面排他チェック修正版をリリース済み(5/20)。本件、受発注システム課題管理NoNJ0089にエスカレーション済み。"","その他","","","","5/17 調査・緊急追加確認 浦野 4H 時間内 範囲内","FALSE"
"11132","2021/5/17","エスフーズ","原材料品質保証システム","調達品質情報 (編集/バージョンアップ/取消)","メーカー申請でエラー","メーカー申請をすると、「変更実施発注開始日を入力してください」「古いアドオン帳票が添付されています」というエラーになる。","バージョンアップをした場合には、アドオンシートを出力しなおし、変更実施発注会思日」を入力のうえ、ネットに添付する必要がある。","","","","","","FALSE"
"11135","2021/5/17","ファミリーマート","商品規格書システム","原価計算書","【新規格書】既存データ修正依頼(サーモンづくし)",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"","","","",""5/17　調査・データ補正　中嶌　2.0H　時間外　範囲内5/19　調査　中嶌　2.0H　時間外　範囲内"","FALSE"
"11136","2021/5/17","JFS","原材料受発注システム","その他","【新原受発注】窓閉め後、窓が開いてしまう原材料が存在する",""30400002 タカラ食品工業葛西350767004 おろししょうが１ｋｇ規格書では2021/05/14で閉まっているが、受発注に反映されない。"",""改廃明細作成フラグが1にならないため、改廃明細が更新されず、受発注に反映されない（既知の事象、規格書課題管理No：604）。フラグを1に変更し、翌日連携を確認予定。5/19 追記改廃明細が更新され、受発注に連携されていることを確認済み。"","","","","",""5/18 調査 浦野 1H 時間内 範囲内5/19 調査 浦野 0.2H 時間内 範囲内"","FALSE"
"11137","2021/5/18","ヤマモリ","原材料品質保証システム","調達品質情報 (編集/バージョンアップ/取消)","メーカー申請でエラー","メーカー申請をすると、商品に引き当てられているというエラーで申請ができない。どのDMで引き当てているか確認してほしい。","チルディー開発で、半製品「ヤムウンセン風ソース混合２１０７」（CD:14699）に引き当てていたので、引当解除のご依頼をしていただくようお願い。","","","","","5/18　顧客対応　山岸　0.1h　調査　中嶌　0.1h　時間内　範囲内","FALSE"
"11138","2021/5/18","東京促成青果","原材料品質保証システム","食材事前情報(申請/フロー)","原材料が見当たらない","事前メーカー申請をした原材料が見当たらなくなってしまった。","AC営業承認待ちとなっている。承認が済むと「ネット依頼前」に表示される。","","","","","5/18　顧客対応　山岸　0.1h　時間内　範囲内","FALSE"
"11139","2021/5/18","JFS","原材料品質保証システム","調達品質情報 (編集/バージョンアップ/取消)","メーカー申請できない","メーカーで、申請しようとしている原材料が規格書に引き当てられているためエラーになって申請できないとのこと。どの商品に引き当てられているか調べてほしい。",""有償対応となるため、FM松下様へご報告。JFS様へ有償でスミス対応とするか確認していただくようご相談。⇒JFS柴本様より、本件お急ぎという事で、取り急ぎ該当原材料が引き当っている商品・半製品の確認方法についてお伝え。DM様へお伝えいただけるとの事。"","","","","",""5/18　顧客対応　山岸　0.1h　時間内　範囲内5/18　顧客対応　中嶌　0.5h　時間内　範囲内"","FALSE"
"11140","2021/5/18","JFS","原材料受発注システム","その他","【新原受発注】フジデリカ鹿児島の包材の出庫データについて","昨日、弊社で緊急追加を承認したが、FICS上で納品伝票は出ているのに、ピッキングリストに載ってないとの事。データがどこで止まっていたのか調べてほしい。","原因はデポ様側でFICS 引当指示画面より、引き当てを実施されていなかった為。引当(出荷)がされていないと、ピッキングリストに載らない為、本事象が発生した。上記をJFS墨谷様へお伝え。","","","","","5/18　調査　中嶌・日高　0.5H 時間内　範囲内","FALSE"
"11142","2021/5/18","JFS","原材料受発注システム","その他","【新原受発注】原材料デポ入出庫照会について",""「前日発注数」と「過去一週間平均発注数」が空白になっているがなぜか。330518503 ハイプロテインパスタデポ：福岡"",###############################################################################################################################################################################################################################################################,"","","","","5/19　調査　川俣　2.0H　時間内　範囲内","FALSE"
"11143","2021/5/19","JFS","原材料受発注システム","その他","【新原受発注】プリマハム様の携帯にクレームメールが届かない","PCにはメールが届くが、携帯メールが届かない。前にも問い合わせたが、未だに事象が改善されない。",""JFS明石様へ、ユーザ様の連絡先をお伺い。スミスにて直接確認する旨お伝え。プリマハム イマキ様へ架電。⇒インシデントNo,11095の続き。送信元のアドレス（veganj-admin@family.co.jp）を受信可能な状態に設定しているとの事。改めてスミスにてクレームメールが正常送信されているか確認したところ、正常送信されている事を確認。イマキ様へお伝え。再度設定状況を確認してみるとのこと。"","","","","",""5/19　顧客対応　中嶌　1.0h　時間内　範囲内5/19　調査　中嶌・川俣　0.5H　時間内　範囲内"","FALSE"
"11146","2021/5/20","榮太樓總本鋪","原材料品質保証システム","ログイン","ログイン画面が表示されない","ログイン画面を表示させようとすると、「接続はセキュリティで保護されていません」とというエラーになってしまう。","エッジをご使用のため、IEでログイン可能かお試しいただく。また、IEの初期設定も併せてご案内。","","","","","5/20　顧客対応・調査　山岸　0.25h　範囲内　時間内","FALSE"
"11147","2021/5/20","ホウコウ","その他","","データを削除してほしい","サンプル受発注システムで、一時保存のデータが残ってしまっているため削除してほしい。JFSに連絡したところ、スミスへ問い合わせてほしいとのことだった。","スミス内担当者へ連携。対応済みとのこと。","","","","","5/20　顧客対応　山岸　0.1h　時間内　範囲内","FALSE"
"11148","2021/5/20","エスフーズ","原材料受発注システム","その他","システムを使用するPCについて","昨年末から受発注システムを利用しておらず、久しぶりに使用しようとしているが、その間にPCを新しくした。何か設定する必要などあるか。","2月にシステムが新しくなったため、URLが変更になっており、推奨ブラウザもクロームになっていることをお伝え。社内で現在使用している方がいらっしゃるので、URLなどは社内で確認するとのこと。","","","","","5/20　顧客対応　山岸　0.1h　時間内　範囲内","FALSE"
"11149","2021/5/20","ファミリーマート","商品規格書システム","マスタ連動","【新規格書／中食表示】添加物置き換え設定依頼",""添加物置き換え設定依頼を受領。※急ぎの為、２０２１年５月２４日（月）迄に対応実施してほしい。"","手順に従い対応実施。対応完了後、FM高村様へご報告。","","","","","5/21　依頼対応　中嶌・山岸　1.5H　時間内　範囲内","FALSE"
"11150","2021/5/20","JFS","原材料受発注システム","その他","窓を閉めても開いてしまう（タカラ食品葛西工場）",###############################################################################################################################################################################################################################################################,""改廃明細作成フラグが1にならないため、改廃明細が更新されず、受発注に反映されない（既知の事象、規格書課題管理No：604）。フラグを1に変更し、5/24に連携を確認予定。5/24 追記窓が閉まっていることを確認済み。"","その他","","","",""5/20 調査・データメンテ 浦野 1H 時間内 範囲内5/24 確認 浦野 0.2H 時間内 範囲内"","FALSE"
"11151","2021/5/21","ファミリーマート","商品規格書システム","改訂版発行","【新規格書】工場配信後検討外・却下となった際の改訂につきまして",###############################################################################################################################################################################################################################################################,###############################################################################################################################################################################################################################################################,"","","","",""5/21　調査　中嶌　2.0H　時間外　範囲内5/26　調査　野澤・佐久間　1.0H　時間内　範囲内5/27　調査・回答　中嶌　2.5H　時間外　範囲内"","FALSE"
"11152","2021/5/24","日本ハム","原材料受発注システム","その他","受発注に入れない","受発注に入れないがシステムがおかしくなっているのか。",""締め処理でトラブルとなっているため。現在対応中で、復旧したら連絡する⇒復旧後ご連絡。"","","","","","5/24　顧客対応　山岸　0.1h　時間内　範囲内","FALSE"
"11153","2021/5/24","北相米穀","原材料受発注システム","その他","画面がおかしい","「締め処理のお知らせ」画面のまま止まってしまっている。","システムトラブルがあったため。現在は解消したため正常に動作することをお伝え。","","","","","5/24　顧客対応　山岸　0.1h　時間内　範囲内","FALSE"
"11154","2021/5/24","榮太樓總本鋪","原材料品質保証システム","ログイン","パスワード再設定がうまくいかない","パスワード再設定をすると、「メール送信に失敗しました」というエラーになる。","IEの初期設定がされていなかったため。設定していただき、正常にパスワードが設定できたことを確認。","","","","","5/24　顧客対応　山岸　0.25h　時間内　範囲内","FALSE"
"11155","2021/5/24","JFS","原材料受発注システム","発注登録","※調査依頼※　【受発注】発注画面未反映について",""規格書では窓が開いているが、受発注へ反映されていない。戸田フーズ追浜800708205　ＦＧＹ１７－１５ＦＬＡ800708304　ＦＧＹ１７―１５Ｈ白黒"",""改廃明細作成フラグが1にならないため、改廃明細が更新されず、受発注に反映されない（既知の事象、規格書課題管理No：604）。フラグを1に変更し、翌日連携を確認予定。5/25 追記規格書の情報が受発注に連携されていることを確認済み。"","その他","","","",""5/24 調査・データメンテ 浦野 1H 時間内 範囲内5/25 確認 浦野 0.2H 時間内 範囲内"","FALSE"
